thai,	01,	7780,	0.15581,	7762,	202,	382,	0.135271,	6714,	1066,	647
japanese,	01,	12873,	0.144582,	13052,	339,	770,	0.13491,	10866,	2007,	1281
chinese,	01,	5506,	0.14665,	5540,	154,	867,	0.135347,	4866,	640,	1046
english,	01,	10453,	0.145203,	10542,	327,	522,	0.147425,	9173,	1280,	632
thai,	02,	7016,	0.145693,	7015,	199,	461,	0.174483,	5966,	1050,	769
japanese,	02,	6559,	0.14396,	6673,	210,	403,	0.137823,	5402,	1157,	972
chinese,	02,	9996,	0.148283,	10466,	632,	1799,	0.13419,	8996,	1000,	1320
english,	02,	10245,	0.148177,	10361,	388,	734,	0.133769,	9042,	1203,	810
thai,	03,	6657,	0.147345,	6695,	200,	813,	0.134381,	5821,	836,	6400
japanese,	03,	7233,	0.143988,	7373,	224,	769,	0.135643,	6188,	1045,	6445
chinese,	03,	6986,	0.14385,	7221,	337,	1025,	0.143588,	6191,	795,	6230
english,	03,	11274,	0.173585,	11372,	376,	1529,	0.135567,	9975,	1299,	10346
thai,	04,	8308,	0.152769,	8370,	286,	1037,	0.132126,	7190,	1118,	4068
japanese,	04,	9039,	0.140484,	9249,	324,	1120,	0.138286,	7513,	1526,	3097
chinese,	04,	11095,	0.171308,	11327,	462,	1640,	0.212322,	10113,	982,	3953
english,	04,	9995,	0.148827,	10236,	505,	1419,	0.139284,	8778,	1217,	3189
thai,	05,	6827,	0.146825,	6867,	226,	841,	0.139221,	7061,	2082,	6527
japanese,	05,	9288,	0.143987,	9458,	300,	1117,	0.136038,	8317,	2337,	8934
chinese,	05,	8748,	0.144785,	8846,	272,	936,	0.134211,	8845,	2219,	8088
english,	05,	8382,	0.152175,	8426,	240,	1293,	0.135943,	8537,	2161,	7932
